city,population,latin_pop,city_lat,city_lon,airport,airport_lat,airport_lon,radious (km),airport_weight,city_weight
New York,8988326,,40.730598449707,-73.9865798950195,JFK - John F. Kennedy International Airport,40.63980103,-73.77890015,100,100,97
New York,8988326,,40.730598449707,-73.9865798950195,EWR - Newark Liberty International Airport,40.692501,-74.168701,100,100,97
Chicago,2746388,,41.8755531311035,-87.6244201660156,ORD - O'Hare International Airport,41.9786,-87.9048,100,83,71
Chicago,2746388,,41.8755531311035,-87.6244201660156,MDW - Chicago Midway International Airport,41.785999,-87.752403,100,83,71
Houston,2472370,,29.7589378356934,-95.3676986694336,IAH - George Bush Intercontinental Airport,29.9843997955322,-95.3414001464844,100,95,66
Houston,2472370,,29.7589378356934,-95.3676986694336,HOU - William P. Hobby Airport,29.64539909,-95.27890015,100,95,66
Dallas/Fort Worth,1416904,,32.7761955261231,-96.7968978881836,DFW - Dallas/Fort Worth International Airport,32.896801,-97.038002,100,97,64
Los Angeles,3983540,,34.0537185668945,-118.242729187012,LAX - Los Angeles International Airport,33.94250107,-118.4079971,100,44,50
Atlanta,498044,,33.7490997314453,-84.3901824951172,ATL - Hartsfield-Jackson Atlanta International Airport,33.6367,-84.428101,100,72,43
Denver,772575,,39.7391548156738,-104.984703063965,DEN - Denver International Airport,39.861698150635,-104.672996521,100,47,35
Miami,481084,,25.7742652893066,-80.1936569213867,MIA - Miami International Airport,25.7931995391846,-80.2906036376953,100,49,34
Philadelphia,1613184,,39.952335357666,-75.1637878417969,PHL - Philadelphia International Airport,39.871898651123,-75.241096496582,100,36,31
San Francisco / Oakland / San Jose,2497825,,37.7576713,-122.5900389,SFO - San Francisco International Airport,37.6189994812012,-122.375,100,23,30
Washington DC,754909,,38.8949546813965,-77.0366439819336,IAD - Washington Dulles International Airport,38.94449997,-77.45580292,100,19,29
Orlando,238300,,28.5421180725098,-81.3790435791016,MCO - Orlando International Airport,28.4293994903564,-81.3089981079102,100,33,28
Detroit,632776,,42.3486633300781,-83.0567398071289,DTW - Detroit Metropolitan Wayne County Airport,42.2123985290527,-83.353401184082,100,32,28
Minneapolis/St Paul,732186,,44.9772987365723,-93.2654724121094,MSP - Minneapolis-St. Paul International Airport,44.882,-93.221802,100,36,27
Fort Lauderlade,165521,,26.1410891,-80.2279686,FLL - Fort Lauderdale-Hollywood International Airport,26.072599,-80.152702,100,37,23
Boston,717666,,42.360481262207,-71.0595703125,BOS - Logan International Airport,42.36429977,-71.00520325,100,20,22
Charlotte,935521,,35.2030418,-81.0046388,CLT - Charlotte Douglas International Airport,35.2140007019043,-80.9430999755859,100,42,19
Baltimore,625309,,39.2826194763184,-76.620475769043,BWI - Baltimore/Wash International Thurgood Marshall Airport,39.1754,-76.668297,100,23,18
Seattle,769019,,47.6038322448731,-122.330062866211,SEA - Seattle-Tacoma International Airport,47.449001,-122.308998,100,21,18
St Louis,319294,,38.6272735595703,-90.1978912353516,STL - Lambert-St. Louis International Airport,38.748697,-90.370003,100,22,16
Phoenix,1681687,,33.4467697143555,-112.075675964355,PHX - Phoenix Sky Harbor International Airport,33.4342994689941,-112.012001037598,100,17,15
Austin,1089004,,30.2711277008057,-97.7436981201172,AUS - Austin-Bergstrom International Airport,30.1944999694824,-97.6698989868164,100,26,14
Salt Lake City,186440,,40.7670135498047,-111.890434265137,SLC - Salt Lake City International Airport,40.7883987426758,-111.977996826172,100,11,14
Tampa,335709,,27.9477596282959,-82.4584426879883,TPA - Tampa International Airport,27.9755001068115,-82.533203125,100,11,13
Kansas City,145786,,39.0844688415527,-94.5630264282227,MCI - Kansas City International Airport,39.2976,-94.713898,100,13,11
Cleveland,379000,,41.5051612854004,-81.6934432983398,CLE - Cleveland Hopkins International Airport,41.4117012024,-81.8498001099,100,10,11
Las Vegas,660427,,36.1662864685059,-115.149223327637,,,,,,10
San Antonio,1617461,,29.4581674,-98.84403,SAT - San Antonio International Airport,29.5337009429932,-98.4698028564453,100,3,9
Raleigh/Durham,728192,,51.5625114440918,-55.7077484130859,RDU - Raleigh-Durham International Airport,35.8776016235352,-78.7874984741211,100,2,9
Portland,676821,,53.7384338378906,-0.496793329715729,PDX - Portland International Airport,45.58869934,-122.5979996,100,1,9
Indianapolis,893155,,39.7683334350586,-86.1583480834961,IND - Indianapolis International Airport,39.7173,-86.294403,100,3,8
Sacramento,514682,,38.5815734863281,-121.494400024414,,,,,,8
Nashville,709931,,36.1622314453125,-86.7743530273438,BNA - Nashville International Airport,36.1245002746582,-86.6781997680664,100,5,8
New Orleans,343829,,29.9499320983887,-90.0701141357422,MSY - Louis Armstrong New Orleans International Airport,29.9934005737305,-90.2580032348633,100,4,7
Milwaukee,607074,,43.0349922180176,-87.9225006103516,MKE - General Mitchell International Airport,42.9472007751465,-87.896598815918,100,2,7
San Diego,1509425,,32.7174224853516,-117.162773132324,SAN - San Diego International Airport,32.7336006165,-117.190002441,100,1,7
